id,Randon_check,claim_adjucation,ranking_decision,veteran_id,claim_id,ethicity,location,age_group,gender,period_of_service,rank,branch
231,0.35,granted,granted_0,V_231,C_999231,W,loc_j,26-35,M,(m) KC only,Enlisted,Army
232,0.54,denied,denied,V_232,C_999232,W,loc_e,76-85,M,(p) VNE only,Enlisted,Navy
233,0.76,granted,granted_0,V_233,C_999233,W,loc_k,26-35,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
234,0.06,granted,granted_10,V_234,C_999234,A,loc_d,76-85,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Officer,Army
235,0.76,denied,denied,V_235,C_999235,AA,loc_d,66-75,M,(p) VNE only,Enlisted,Army
236,0.10,granted,granted_10,V_236,C_999236,AA,loc_j,46-55,M,(w) GW Era - Post 9/11 only,Enlisted,Army
237,0.68,denied,denied,V_237,C_999237,W,loc_f,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Army
238,0.21,granted,granted_10,V_238,C_999238,W,loc_d,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
239,0.82,denied,denied,V_239,C_999239,W,loc_a,76-85,F,(u) GW Era - Pre 9/11 only,Enlisted,Navy
240,0.96,denied,denied,V_240,C_999240,W,loc_c,56-65,M,(t) Between VNE & GW Era,Officer,Army
241,0.55,granted,granted_0,V_241,C_999241,A,loc_l,66-75,M,(p) VNE only,Enlisted,Marines
242,0.03,granted,granted_10,V_242,C_999242,W,loc_a,66-75,F,(t) Between VNE & GW Era,Enlisted,Army
243,0.52,denied,denied,V_243,C_999243,W,loc_l,66-75,F,(t) Between VNE & GW Era,Enlisted,Army
244,0.52,denied,denied,V_244,C_999244,W,loc_l,66-75,M,(t) Between VNE & GW Era,Enlisted,Army
245,0.57,granted,granted_0,V_245,C_999245,W,loc_e,76-85,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
246,0.46,granted,granted_0,V_246,C_999246,W,loc_j,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
247,0.86,granted,granted_0,V_247,C_999247,W,loc_j,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
248,0.81,granted,granted_0,V_248,C_999248,W,loc_a,86-above,ND,(p) VNE only,Enlisted,Army
249,0.15,granted,granted_10,V_249,C_999249,A,loc_k,86-above,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
250,0.37,granted,granted_0,V_250,C_999250,W,loc_j,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
251,0.35,denied,denied,V_251,C_999251,W,loc_a,76-85,M,(p) VNE only,Enlisted,Navy
252,0.83,denied,denied,V_252,C_999252,W,loc_a,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
253,0.11,granted,granted_10,V_253,C_999253,W,loc_a,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
254,0.77,denied,denied,V_254,C_999254,W,loc_j,66-75,ND,(t) Between VNE & GW Era,Enlisted,Army
255,0.86,denied,denied,V_255,C_999255,W,loc_l,26-35,M,(p) VNE only,Enlisted,Army
256,0.82,denied,denied,V_256,C_999256,W,loc_a,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Army
257,0.62,granted,granted_0,V_257,C_999257,W,loc_j,76-85,F,(w) GW Era - Post 9/11 only,Enlisted,Army
258,0.92,granted,granted_0,V_258,C_999258,W,loc_a,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
259,0.95,granted,granted_0,V_259,C_999259,AA,loc_g,86-above,M,(p) VNE only,Enlisted,Army
260,0.23,denied,denied,V_260,C_999260,AA,loc_e,26-35,F,(w) GW Era - Post 9/11 only,Enlisted,Army
261,0.21,granted,granted_10,V_261,C_999261,W,loc_h,56-65,F,(w) GW Era - Post 9/11 only,Enlisted,Army
262,0.30,granted,granted_0,V_262,C_999262,W,loc_g,76-85,M,(t) Between VNE & GW Era,Enlisted,Reserve Forces
263,0.53,granted,granted_0,V_263,C_999263,W,loc_e,76-85,M,(o) Between KC & VNE,Enlisted,Army
264,0.76,denied,denied,V_264,C_999264,W,loc_j,76-85,F,(w) GW Era - Post 9/11 only,Enlisted,Air Force
265,0.34,denied,denied,V_265,C_999265,AA,loc_i,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
266,0.75,denied,denied,V_266,C_999266,W,loc_g,66-75,M,(p) VNE only,Enlisted,Air Force
267,0.14,denied,denied,V_267,C_999267,W,loc_f,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Air Force
268,0.86,granted,granted_0,V_268,C_999268,W,loc_f,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
269,0.43,granted,granted_0,V_269,C_999269,W,loc_k,76-85,M,(o) Between KC & VNE,Enlisted,Army
270,0.63,granted,granted_0,V_270,C_999270,W,loc_l,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
271,0.57,granted,granted_0,V_271,C_999271,W,loc_e,76-85,M,(o) Between KC & VNE,Enlisted,Army
272,0.15,denied,denied,V_272,C_999272,W,loc_a,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Army
273,0.99,denied,denied,V_273,C_999273,W,loc_l,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
274,0.95,granted,granted_0,V_274,C_999274,W,loc_l,76-85,F,(i) WWII only,Enlisted,Army
275,0.61,granted,granted_0,V_275,C_999275,W,loc_c,76-85,M,(p) VNE only,Enlisted,Air Force
276,0.76,denied,denied,V_276,C_999276,W,loc_i,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
277,0.46,granted,granted_0,V_277,C_999277,T,loc_i,56-65,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
278,0.21,denied,denied,V_278,C_999278,W,loc_c,56-65,M,(t) Between VNE & GW Era,Enlisted,Air Force
279,0.42,granted,granted_0,V_279,C_999279,W,loc_j,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
280,0.32,granted,granted_0,V_280,C_999280,AA,loc_g,66-75,M,(o) Between KC & VNE,Enlisted,Army
281,0.01,granted,granted_10,V_281,C_999281,AA,loc_b,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
282,0.05,denied,denied,V_282,C_999282,W,loc_e,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
283,0.48,granted,granted_0,V_283,C_999283,HL,loc_g,66-75,M,(p) VNE only,Enlisted,Air Force
284,0.35,denied,denied,V_284,C_999284,AA,loc_j,76-85,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Navy
285,0.74,denied,denied,V_285,C_999285,W,loc_a,76-85,M,(t) Between VNE & GW Era,Enlisted,Navy
286,0.22,granted,granted_10,V_286,C_999286,W,loc_j,76-85,M,(t) Between VNE & GW Era,Enlisted,Navy
287,0.28,denied,denied,V_287,C_999287,T,loc_i,56-65,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Marines
288,0.76,granted,granted_0,V_288,C_999288,W,loc_e,76-85,ND,(w) GW Era - Post 9/11 only,Enlisted,Navy
289,0.80,denied,denied,V_289,C_999289,A,loc_e,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
290,0.75,granted,granted_0,V_290,C_999290,O,loc_a,66-75,F,(p) VNE only,Enlisted,Army
291,0.98,denied,denied,V_291,C_999291,W,loc_c,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
292,0.72,granted,granted_0,V_292,C_999292,W,loc_j,86-above,M,(p) VNE only,Enlisted,Navy
293,0.85,denied,denied,V_293,C_999293,W,loc_e,66-75,M,(p) VNE only,Enlisted,Army
294,0.87,granted,granted_0,V_294,C_999294,W,loc_f,56-65,M,(p) VNE only,Enlisted,Air Force
295,0.70,denied,denied,V_295,C_999295,W,loc_l,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
296,0.22,granted,granted_10,V_296,C_999296,W,loc_h,76-85,M,(t) Between VNE & GW Era,Enlisted,Navy
297,0.29,granted,granted_10,V_297,C_999297,W,loc_a,76-85,M,(p) VNE only,Officer,Army
298,0.91,granted,granted_0,V_298,C_999298,W,loc_i,66-75,M,(m) KC only,Enlisted,Army
299,0.93,denied,denied,V_299,C_999299,W,loc_f,76-85,F,(w) GW Era - Post 9/11 only,Enlisted,Air Force
300,0.80,denied,denied,V_300,C_999300,HL,loc_e,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
301,0.64,denied,denied,V_301,C_999301,W,loc_f,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
302,0.75,granted,granted_0,V_302,C_999302,O,loc_j,76-85,M,(m) KC only,Enlisted,Navy
303,0.22,denied,denied,V_303,C_999303,W,loc_c,66-75,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",Enlisted,Air Force
304,0.24,denied,denied,V_304,C_999304,W,loc_e,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
305,0.13,denied,denied,V_305,C_999305,W,loc_k,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
306,0.49,denied,denied,V_306,C_999306,AA,loc_b,56-65,M,(t) Between VNE & GW Era,Enlisted,Air Force
307,0.13,denied,denied,V_307,C_999307,HL,loc_k,76-85,M,(p) VNE only,Enlisted,Army
308,0.39,granted,granted_0,V_308,C_999308,W,loc_h,66-75,M,(p) VNE only,Enlisted,Air Force
309,0.35,denied,denied,V_309,C_999309,A,loc_c,66-75,F,(u) GW Era - Pre 9/11 only,Enlisted,Army
310,0.77,granted,granted_0,V_310,C_999310,W,loc_j,66-75,F,(t) Between VNE & GW Era,Enlisted,Army
311,0.39,granted,granted_0,V_311,C_999311,W,loc_i,56-65,M,(t) Between VNE & GW Era,Enlisted,Navy
312,0.82,granted,granted_0,V_312,C_999312,W,loc_f,26-35,M,(m) KC only,Enlisted,Army
313,0.93,granted,granted_0,V_313,C_999313,AA,loc_l,76-85,M,(m) KC only,Enlisted,Reserve Forces
314,0.25,denied,denied,V_314,C_999314,W,loc_j,66-75,M,(t) Between VNE & GW Era,Enlisted,Army
315,0.75,denied,denied,V_315,C_999315,W,loc_a,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
316,0.49,granted,granted_0,V_316,C_999316,W,loc_l,66-75,M,(p) VNE only,Enlisted,Army
317,0.74,denied,denied,V_317,C_999317,W,loc_g,56-65,M,(m) KC only,Enlisted,Air Force
318,0.42,denied,denied,V_318,C_999318,W,loc_k,66-75,M,(p) VNE only,Enlisted,Army
319,0.92,denied,denied,V_319,C_999319,W,loc_l,36- 45,M,(t) Between VNE & GW Era,Enlisted,Army
320,0.98,denied,denied,V_320,C_999320,W,loc_e,66-75,M,(p) VNE only,Enlisted,Navy
321,0.57,denied,denied,V_321,C_999321,W,loc_a,76-85,ND,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Officer,Army
322,0.23,granted,granted_10,V_322,C_999322,HL,loc_j,76-85,ND,(p) VNE only,Enlisted,Navy
323,0.12,granted,granted_10,V_323,C_999323,W,loc_i,76-85,M,(p) VNE only,Enlisted,Non-Defense
324,0.73,denied,denied,V_324,C_999324,W,loc_l,56-65,F,(t) Between VNE & GW Era,Enlisted,Army
325,0.57,denied,denied,V_325,C_999325,P,loc_k,46-55,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
326,0.91,granted,granted_0,V_326,C_999326,T,loc_j,46-55,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
327,0.64,denied,denied,V_327,C_999327,W,loc_f,56-65,F,(w) GW Era - Post 9/11 only,Officer,Air Force
328,0.04,denied,denied,V_328,C_999328,W,loc_j,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Army
329,0.13,denied,denied,V_329,C_999329,P,loc_g,86-above,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
330,0.78,granted,granted_0,V_330,C_999330,O,loc_a,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
331,0.96,denied,denied,V_331,C_999331,AA,loc_j,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
332,0.30,granted,granted_10,V_332,C_999332,AA,loc_l,66-75,M,(p) VNE only,Enlisted,Army
333,0.72,denied,denied,V_333,C_999333,W,loc_l,66-75,M,(t) Between VNE & GW Era,Enlisted,Reserve Forces
334,0.56,denied,denied,V_334,C_999334,T,loc_e,66-75,M,(p) VNE only,Enlisted,Navy
335,0.49,granted,granted_0,V_335,C_999335,W,loc_h,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
336,0.54,denied,denied,V_336,C_999336,T,loc_k,66-75,M,(m) KC only,Enlisted,Air Force
337,0.95,granted,granted_0,V_337,C_999337,W,loc_e,66-75,M,(t) Between VNE & GW Era,Enlisted,Navy
338,0.45,denied,denied,V_338,C_999338,W,loc_j,76-85,M,(p) VNE only,Enlisted,Army
339,0.99,denied,denied,V_339,C_999339,W,loc_i,46-55,M,(t) Between VNE & GW Era,Enlisted,Navy
340,0.34,denied,denied,V_340,C_999340,HL,loc_j,76-85,F,(o) Between KC & VNE,Enlisted,Air Force
341,0.35,granted,granted_0,V_341,C_999341,W,loc_i,26-35,M,(i) WWII only,Enlisted,Navy
342,0.40,denied,denied,V_342,C_999342,HL,loc_c,66-75,M,(o) Between KC & VNE,Enlisted,Army
343,0.44,denied,denied,V_343,C_999343,HL,loc_g,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
344,0.36,denied,denied,V_344,C_999344,W,loc_e,46-55,M,(w) GW Era - Post 9/11 only,Enlisted,Army
345,0.52,granted,granted_0,V_345,C_999345,W,loc_c,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Navy
346,0.53,denied,denied,V_346,C_999346,A,loc_k,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
347,0.77,denied,denied,V_347,C_999347,W,loc_j,76-85,F,(s) VNE & GW Era - Post 9/11,Enlisted,Army
348,0.68,denied,denied,V_348,C_999348,W,loc_i,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
349,0.25,denied,denied,V_349,C_999349,W,loc_l,66-75,M,(t) Between VNE & GW Era,Enlisted,Air Force
350,0.75,granted,granted_0,V_350,C_999350,W,loc_l,76-85,M,(p) VNE only,Officer,Reserve Forces
351,0.90,denied,denied,V_351,C_999351,T,loc_j,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
352,0.15,denied,denied,V_352,C_999352,W,loc_i,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
353,0.84,denied,denied,V_353,C_999353,W,loc_c,36- 45,M,(p) VNE only,Enlisted,Navy
354,0.41,denied,denied,V_354,C_999354,W,loc_a,26-35,M,(t) Between VNE & GW Era,Enlisted,Army
355,0.43,granted,granted_0,V_355,C_999355,W,loc_j,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
356,0.32,granted,granted_0,V_356,C_999356,W,loc_j,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Air Force
357,0.73,denied,denied,V_357,C_999357,T,loc_k,76-85,M,(t) Between VNE & GW Era,Enlisted,Navy
358,0.46,denied,denied,V_358,C_999358,W,loc_i,76-85,M,(p) VNE only,Enlisted,Navy
359,0.48,granted,granted_0,V_359,C_999359,W,loc_e,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
360,0.88,granted,granted_0,V_360,C_999360,A,loc_j,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
361,0.28,granted,granted_10,V_361,C_999361,W,loc_d,86-above,M,(p) VNE only,Enlisted,Reserve Forces
362,0.57,granted,granted_0,V_362,C_999362,HL,loc_a,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
363,0.13,granted,granted_10,V_363,C_999363,W,loc_l,76-85,M,(i) WWII only,Enlisted,Navy
364,0.77,denied,denied,V_364,C_999364,W,loc_k,46-55,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Reserve Forces
365,0.94,granted,granted_0,V_365,C_999365,W,loc_j,56-65,F,(o) Between KC & VNE,Enlisted,Navy
366,0.18,granted,granted_10,V_366,C_999366,AA,loc_h,86-above,M,(m) KC only,Enlisted,Army
367,0.13,granted,granted_10,V_367,C_999367,W,loc_e,76-85,M,(p) VNE only,Enlisted,Army
368,0.41,denied,denied,V_368,C_999368,AA,loc_c,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
369,0.36,denied,denied,V_369,C_999369,W,loc_i,66-75,M,(p) VNE only,Enlisted,Navy
370,0.85,granted,granted_0,V_370,C_999370,W,loc_l,86-above,F,(w) GW Era - Post 9/11 only,Enlisted,Army
371,0.27,denied,denied,V_371,C_999371,W,loc_c,76-85,F,(p) VNE only,Enlisted,Air Force
372,0.48,denied,denied,V_372,C_999372,W,loc_f,46-55,M,(o) Between KC & VNE,Enlisted,Air Force
373,0.80,granted,granted_0,V_373,C_999373,W,loc_j,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
374,0.68,denied,denied,V_374,C_999374,W,loc_e,76-85,ND,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Navy
375,0.36,denied,denied,V_375,C_999375,W,loc_e,76-85,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
376,0.35,denied,denied,V_376,C_999376,W,loc_j,76-85,M,(p) VNE only,Enlisted,Air Force
377,0.09,denied,denied,V_377,C_999377,W,loc_i,76-85,M,(o) Between KC & VNE,Enlisted,Army
378,0.25,denied,denied,V_378,C_999378,W,loc_j,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
379,0.82,granted,granted_0,V_379,C_999379,AA,loc_f,56-65,M,(t) Between VNE & GW Era,Enlisted,Reserve Forces
380,0.66,granted,granted_0,V_380,C_999380,AA,loc_j,76-85,ND,(w) GW Era - Post 9/11 only,Enlisted,Air Force
381,0.59,granted,granted_0,V_381,C_999381,W,loc_i,56-65,M,(p) VNE only,Officer,Army
382,1.00,denied,denied,V_382,C_999382,W,loc_a,76-85,M,(p) VNE only,Enlisted,Army
383,0.14,denied,denied,V_383,C_999383,W,loc_j,26-35,M,(p) VNE only,Enlisted,Marines
384,0.33,denied,denied,V_384,C_999384,O,loc_i,66-75,M,(q) VNE & GW Era - Pre 9/11,Enlisted,Army
385,0.21,denied,denied,V_385,C_999385,W,loc_j,46-55,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Marines
386,0.88,denied,denied,V_386,C_999386,W,loc_c,56-65,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Officer,Air Force
387,0.19,granted,granted_10,V_387,C_999387,O,loc_a,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
388,0.85,denied,denied,V_388,C_999388,W,loc_j,76-85,M,(t) Between VNE & GW Era,Enlisted,Reserve Forces
389,0.72,denied,denied,V_389,C_999389,A,loc_g,86-above,M,(t) Between VNE & GW Era,Enlisted,Navy
390,0.97,granted,granted_0,V_390,C_999390,W,loc_l,76-85,F,(t) Between VNE & GW Era,Enlisted,Army
391,0.43,granted,granted_0,V_391,C_999391,O,loc_g,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
392,0.38,denied,denied,V_392,C_999392,AA,loc_f,36- 45,M,(w) GW Era - Post 9/11 only,Enlisted,Army
393,0.31,granted,granted_0,V_393,C_999393,AA,loc_l,46-55,F,(t) Between VNE & GW Era,Enlisted,Navy
394,0.63,granted,granted_0,V_394,C_999394,W,loc_k,66-75,M,(t) Between VNE & GW Era,Enlisted,Marines
395,0.11,denied,denied,V_395,C_999395,W,loc_a,56-65,F,(t) Between VNE & GW Era,Enlisted,Navy
396,0.18,denied,denied,V_396,C_999396,W,loc_j,76-85,F,(t) Between VNE & GW Era,Enlisted,Air Force
397,0.90,granted,granted_0,V_397,C_999397,W,loc_h,56-65,F,(w) GW Era - Post 9/11 only,Enlisted,Reserve Forces
398,0.01,granted,granted_10,V_398,C_999398,W,loc_h,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
399,0.17,denied,denied,V_399,C_999399,W,loc_e,66-75,F,(w) GW Era - Post 9/11 only,Enlisted,Army
400,0.26,granted,granted_10,V_400,C_999400,AA,loc_l,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
401,0.79,denied,denied,V_401,C_999401,W,loc_l,76-85,M,(q) VNE & GW Era - Pre 9/11,Enlisted,Army
402,0.50,granted,granted_0,V_402,C_999402,AA,loc_d,76-85,M,(o) Between KC & VNE,Enlisted,Army
403,0.89,denied,denied,V_403,C_999403,W,loc_j,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Navy
404,0.21,denied,denied,V_404,C_999404,W,loc_j,76-85,M,(p) VNE only,Enlisted,Air Force
405,0.39,granted,granted_0,V_405,C_999405,W,loc_e,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
406,0.64,denied,denied,V_406,C_999406,AA,loc_a,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
407,0.70,granted,granted_0,V_407,C_999407,W,loc_d,66-75,M,(q) VNE & GW Era - Pre 9/11,Enlisted,Army
408,0.71,granted,granted_0,V_408,C_999408,W,loc_j,26-35,M,(p) VNE only,Enlisted,Army
409,0.02,granted,granted_10,V_409,C_999409,AA,loc_c,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
410,0.54,granted,granted_0,V_410,C_999410,AA,loc_d,66-75,M,(t) Between VNE & GW Era,Enlisted,Marines
411,0.12,denied,denied,V_411,C_999411,W,loc_j,66-75,M,(o) Between KC & VNE,Enlisted,Reserve Forces
412,0.42,granted,granted_0,V_412,C_999412,W,loc_j,56-65,M,(p) VNE only,Enlisted,Army
413,0.69,denied,denied,V_413,C_999413,W,loc_i,46-55,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
414,0.74,granted,granted_0,V_414,C_999414,W,loc_j,46-55,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
415,0.42,granted,granted_0,V_415,C_999415,W,loc_j,76-85,M,(p) VNE only,Enlisted,Marines
416,0.07,denied,denied,V_416,C_999416,W,loc_b,56-65,M,(w) GW Era - Post 9/11 only,Officer,Navy
417,0.72,granted,granted_0,V_417,C_999417,W,loc_c,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Army
418,0.18,denied,denied,V_418,C_999418,W,loc_f,36- 45,M,(o) Between KC & VNE,Enlisted,Navy
419,0.76,granted,granted_0,V_419,C_999419,W,loc_i,56-65,ND,(w) GW Era - Post 9/11 only,Enlisted,Army
420,0.37,granted,granted_0,V_420,C_999420,W,loc_l,86-above,M,(t) Between VNE & GW Era,Enlisted,Army
421,0.26,granted,granted_10,V_421,C_999421,W,loc_j,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
422,0.54,granted,granted_0,V_422,C_999422,W,loc_f,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
423,0.54,granted,granted_0,V_423,C_999423,W,loc_a,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
424,0.54,granted,granted_0,V_424,C_999424,W,loc_c,56-65,M,(p) VNE only,Enlisted,Army
425,0.87,granted,granted_0,V_425,C_999425,HL,loc_c,86-above,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
426,0.26,granted,granted_10,V_426,C_999426,HL,loc_d,56-65,M,(t) Between VNE & GW Era,Enlisted,Air Force
427,0.50,denied,denied,V_427,C_999427,HL,loc_c,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Army
428,0.31,granted,granted_0,V_428,C_999428,W,loc_f,56-65,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Air Force
429,0.42,denied,denied,V_429,C_999429,HL,loc_i,56-65,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Navy
430,0.23,granted,granted_10,V_430,C_999430,W,loc_e,76-85,M,(p) VNE only,Enlisted,Army
431,0.74,denied,denied,V_431,C_999431,W,loc_a,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
432,0.25,denied,denied,V_432,C_999432,W,loc_e,46-55,M,(p) VNE only,Enlisted,Army
433,0.35,granted,granted_0,V_433,C_999433,W,loc_a,56-65,M,(u) GW Era - Pre 9/11 only,Officer,Army
434,0.11,denied,denied,V_434,C_999434,W,loc_f,76-85,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",Enlisted,Air Force
435,0.96,denied,denied,V_435,C_999435,W,loc_k,26-35,F,(o) Between KC & VNE,Officer,Army
436,0.42,granted,granted_0,V_436,C_999436,W,loc_j,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Air Force
437,0.39,denied,denied,V_437,C_999437,AA,loc_c,46-55,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
438,0.95,denied,denied,V_438,C_999438,W,loc_e,76-85,M,(p) VNE only,Enlisted,Marines
439,0.46,denied,denied,V_439,C_999439,W,loc_c,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
440,0.46,denied,denied,V_440,C_999440,W,loc_f,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
441,0.37,denied,denied,V_441,C_999441,AI,loc_e,26-35,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
442,0.23,denied,denied,V_442,C_999442,AA,loc_c,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
443,0.93,denied,denied,V_443,C_999443,W,loc_c,26-35,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
444,0.18,denied,denied,V_444,C_999444,W,loc_l,66-75,F,(w) GW Era - Post 9/11 only,Enlisted,Navy
445,0.36,granted,granted_0,V_445,C_999445,W,loc_g,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
446,0.62,granted,granted_0,V_446,C_999446,T,loc_c,76-85,M,(p) VNE only,Enlisted,Army
447,0.76,granted,granted_0,V_447,C_999447,AA,loc_h,56-65,F,(u) GW Era - Pre 9/11 only,Enlisted,Marines
448,0.37,denied,denied,V_448,C_999448,W,loc_k,76-85,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
449,0.27,denied,denied,V_449,C_999449,W,loc_a,76-85,M,(m) KC only,Enlisted,Air Force
450,0.47,denied,denied,V_450,C_999450,W,loc_c,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
451,0.97,denied,denied,V_451,C_999451,AA,loc_e,66-75,F,(w) GW Era - Post 9/11 only,Enlisted,Army
452,0.47,granted,granted_0,V_452,C_999452,W,loc_f,76-85,M,(m) KC only,Enlisted,Air Force
453,0.83,granted,granted_0,V_453,C_999453,W,loc_i,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Reserve Forces
454,0.99,granted,granted_0,V_454,C_999454,W,loc_f,66-75,F,(o) Between KC & VNE,Enlisted,Non-Defense
455,0.47,denied,denied,V_455,C_999455,W,loc_e,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
456,0.81,denied,denied,V_456,C_999456,W,loc_j,66-75,F,(p) VNE only,Enlisted,Marines
457,0.56,denied,denied,V_457,C_999457,W,loc_j,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
458,0.52,granted,granted_0,V_458,C_999458,W,loc_d,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
459,0.13,granted,granted_10,V_459,C_999459,W,loc_k,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
460,0.39,granted,granted_0,V_460,C_999460,AA,loc_j,26-35,M,(i) WWII only,Enlisted,Army
